State,Plant ID,Plant Name,Unit ID,January,February,March,April,May,June,July,August,September,October,November,December,Utilization Factor
PA,3166,Peach Bottom,2,993150,901478,997327,966254,987786,924753,916799,933242,838850,362760,966078,999974,100.6
PA,3166,Peach Bottom,3,1000065,874166,962100,929173,988201,888742,952275,964499,746222,611252,972247,1002723,101.4
PA,6040,Beaver Valley,1,691116,630017,696043,282551,454351,636751,650156,676021,657472,690122,670646,702902,93.6
PA,6040,Beaver Valley,2,690640,622585,684667,666844,677787,653674,610640,578195,637176,358935,343673,690492,91.4
PA,6103,TalenEnergy Susquehanna,1,953736,793432,749802,0,815316,913253,933204,672255,904840,946566,927019,949104,87.5
PA,6103,TalenEnergy Susquehanna,2,950244,851238,944930,907337,915085,890963,904516,894366,873798,930506,909157,938055,99.9
PA,6105,Limerick,1,854281,724456,591202,305232,859183,790820,846820,834944,822134,864465,848580,839738,93.6
PA,6105,Limerick,2,883609,793388,874107,846332,832615,827121,848160,845999,818741,865646,850779,870274,103.3
PA,8011,Three Mile Island,1,633552,571419,630787,607853,614580,594845,611421,609506,594668,623620,611295,632278,104.3
SC,3251,H B Robinson,2,595109,534231,590430,562807,556891,388135,548790,548396,371425,-2024,9127,572801,81.3
SC,3265,Oconee,1,644843,582778,643518,576645,644238,620421,637173,631903,605221,359528,317996,481371,90.9
SC,3265,Oconee,2,650579,587275,648447,626116,645687,624229,640960,635829,612559,635854,624787,648846,102.1
SC,3265,Oconee,3,651326,587941,646214,375420,254284,625844,646198,641104,616822,640609,629649,652031,92.6
SC,6036,Catawba,1,882527,793913,878947,848482,869914,837540,863519,863404,834117,866060,419088,552976,93.6
SC,6036,Catawba,2,872760,779142,402130,429010,852389,829217,854509,853855,826190,861917,840363,867746,92
SC,6127,V C Summer,1,738061,666522,737076,714104,723180,709283,729878,729339,705973,104707,74007,734261,86.6
TN,6152,Sequoyah,1,863296,730692,859538,156265,630803,819137,838349,837766,811339,843937,835769,689984,88.4
TN,6152,Sequoyah,2,860056,775653,858946,831300,851319,817857,825845,829062,795683,706301,30300,604552,89.1
TN,7722,Watts Bar Nuclear Plant,1,887392,793033,883095,848390,858546,824067,847779,848151,367212,-14522,800283,885062,89.7
TN,7722,Watts Bar Nuclear Plant,2,894612,799263,887961,763072,825648,569906,810031,664576,819468,864109,857082,888417,98.1
